id_user,variant,continent,booked_previously,device,new_active_listing,new_booked_listing,new_cancelled_listing
13758,treatment,africa,1,android,1,0,0
7050,control,europe,1,android,0,0,0
17541,treatment,north_america,1,android,1,0,0
9445,control,europe,1,android,0,0,0
4328,treatment,europe,1,android,1,0,0
11710,control,europe,1,ios,0,0,0
20674,control,south_america,1,android,0,0,0
18919,control,north_america,1,ios,0,0,0
9508,control,australia,1,android,1,1,0
20170,treatment,north_america,1,android,0,0,0
17476,control,north_america,1,android,0,0,0
18617,control,europe,1,android,0,0,0
20030,treatment,north_america,1,android,1,0,0
707,treatment,europe,1,ios,0,0,0
12146,treatment,north_america,1,ios,0,0,0
11897,treatment,north_america,1,android,0,0,0
1037,treatment,north_america,1,ios,0,0,0
10148,treatment,north_america,1,ios,0,0,0
4109,treatment,australia,1,ios,0,0,0
1626,control,south_america,1,android,0,0,0
20685,treatment,north_america,1,android,0,0,0
10696,treatment,north_america,1,ios,0,0,0
6670,control,africa,1,android,0,0,0
20175,control,europe,1,android,1,0,0
1632,control,australia,1,ios,1,0,0
18449,control,south_america,1,web,0,0,0
19972,treatment,north_america,1,android,0,0,0
11497,control,north_america,1,ios,0,0,0
7497,treatment,europe,1,android,1,0,0
16235,control,europe,1,ios,1,0,0
9936,control,europe,1,android,0,0,0
18225,treatment,north_america,1,ios,0,0,0
534,treatment,north_america,1,android,1,1,0
8697,control,asia,1,android,0,0,0
16422,control,north_america,1,android,0,0,0
307,treatment,north_america,1,ios,0,0,0
6728,control,north_america,1,ios,0,0,0
13582,treatment,north_america,1,android,0,0,0
9017,control,north_america,1,ios,0,0,0
1511,control,europe,1,android,0,0,0
3188,treatment,europe,1,ios,1,0,0
12626,control,africa,1,android,0,0,0
15420,control,africa,1,android,1,0,0
17826,treatment,north_america,1,android,0,0,0
14716,control,north_america,1,ios,1,0,0
20384,treatment,europe,1,android,1,0,0
4449,treatment,north_america,1,ios,0,0,0
4277,control,europe,1,ios,0,0,0
14395,treatment,north_america,1,android,1,1,0
15099,control,north_america,1,ios,0,0,0
8752,control,australia,1,web,0,0,0
303,control,europe,1,ios,0,0,0
11713,treatment,north_america,1,web,1,0,0
7689,control,north_america,1,ios,1,1,0
14272,treatment,africa,1,web,0,0,0
1390,control,europe,1,android,1,0,0
3988,control,south_america,1,android,0,0,0
4102,control,europe,1,ios,0,0,0
2003,treatment,europe,1,android,0,0,0
19386,treatment,europe,1,ios,0,0,0
5076,treatment,north_america,1,ios,1,1,0
3049,treatment,north_america,1,ios,1,0,0
18826,treatment,africa,1,android,0,0,0
1355,treatment,north_america,1,ios,0,0,0
1091,treatment,europe,1,web,1,0,0
3596,control,asia,1,android,1,1,0
12767,control,north_america,1,android,1,0,0
4724,treatment,australia,1,web,0,0,0
11766,control,europe,1,android,1,0,0
3231,treatment,europe,1,android,0,0,0
17440,control,africa,1,ios,1,1,0
10476,control,north_america,1,ios,1,0,0
2777,control,north_america,1,web,1,1,0
8776,control,north_america,1,ios,0,0,0
16068,control,south_america,1,android,0,0,0
8442,control,north_america,1,android,1,0,0
6231,control,africa,1,ios,0,0,0
15283,control,north_america,1,ios,0,0,0
3761,treatment,north_america,1,ios,1,1,0
5912,treatment,europe,1,android,0,0,0
10140,treatment,north_america,1,android,0,0,0
14203,treatment,europe,1,ios,0,0,0
13198,control,south_america,1,android,1,0,0
6294,treatment,europe,1,web,0,0,0
9266,treatment,north_america,1,ios,1,0,0
734,control,north_america,1,android,0,0,0
13615,treatment,europe,1,android,0,0,0
11646,control,north_america,1,android,0,0,0
13375,control,europe,1,ios,0,0,0
14818,control,europe,1,android,1,0,0
7187,control,north_america,1,web,1,0,0
10389,treatment,europe,1,android,0,0,0
8411,control,south_america,1,android,0,0,0
410,control,europe,1,android,0,0,0
3682,treatment,north_america,1,android,1,0,0
10917,treatment,north_america,1,ios,1,1,0
2159,treatment,africa,1,android,1,0,0
12140,control,north_america,1,ios,1,0,0
9688,treatment,europe,1,android,0,0,0
7416,treatment,north_america,1,android,1,0,0
5695,control,europe,1,ios,0,0,0
10930,treatment,europe,1,ios,0,0,0
6165,treatment,europe,1,android,1,0,0
4571,control,africa,1,android,1,0,0
8862,control,north_america,1,ios,0,0,0
20919,treatment,north_america,1,android,1,0,0
16642,treatment,africa,1,android,0,0,0
2454,control,europe,1,android,0,0,0
16576,treatment,australia,1,ios,0,0,0
20106,control,africa,1,android,0,0,0
3481,treatment,north_america,1,android,1,0,0
17211,control,asia,1,android,1,0,0
11405,control,europe,1,android,1,1,0
3219,control,africa,1,android,0,0,0
850,control,north_america,1,ios,0,0,0
13158,treatment,asia,1,android,1,1,0
8049,control,north_america,1,android,0,0,0
2038,treatment,north_america,1,ios,0,0,0
18138,treatment,north_america,1,ios,1,0,0
4706,control,north_america,1,ios,0,0,0
2103,control,north_america,1,ios,1,1,0
3480,treatment,north_america,1,web,0,0,0
8788,treatment,north_america,1,android,1,1,0
16009,control,north_america,1,ios,0,0,0
10380,control,europe,1,android,1,1,0
18755,treatment,north_america,1,ios,0,0,0
2046,treatment,africa,1,android,0,0,0
14455,control,north_america,1,web,1,1,0
14055,control,asia,1,android,0,0,0
8380,control,europe,1,android,1,1,0
1241,control,europe,1,android,0,0,0
2363,treatment,north_america,1,ios,0,0,0
13031,treatment,europe,1,ios,0,0,0
4978,treatment,australia,1,ios,0,0,0
19815,control,north_america,1,web,1,0,0
10322,treatment,north_america,1,ios,0,0,0
6440,treatment,north_america,1,android,0,0,0
1661,treatment,europe,1,ios,1,1,0
19141,control,north_america,1,ios,0,0,0
12789,treatment,africa,1,android,1,0,0
1455,treatment,europe,1,ios,0,0,0
20264,control,europe,1,android,1,0,0
12168,treatment,north_america,1,ios,0,0,0
7003,control,north_america,1,ios,0,0,0
13703,treatment,north_america,1,ios,0,0,0
20812,treatment,africa,1,android,1,0,0
19891,control,australia,1,android,1,0,0
6182,treatment,north_america,1,ios,0,0,0
5395,treatment,north_america,1,android,1,1,0
13377,treatment,europe,1,ios,0,0,0
948,control,europe,1,android,0,0,0
6353,control,north_america,1,android,0,0,0
10507,control,north_america,1,android,0,0,0
1131,treatment,north_america,1,android,0,0,0
3064,control,north_america,1,ios,0,0,0
14998,treatment,europe,1,android,0,0,0
13129,control,north_america,1,ios,1,0,0
18572,treatment,north_america,1,web,0,0,0
14826,control,north_america,1,ios,1,1,1
18254,control,north_america,1,android,0,0,0
4638,control,europe,1,android,0,0,0
10690,control,north_america,1,ios,1,0,0
4133,control,europe,1,web,0,0,0
9546,treatment,africa,1,android,0,0,0
10935,control,north_america,1,ios,1,1,0
6895,treatment,north_america,1,ios,0,0,0
9618,control,asia,1,android,0,0,0
11418,control,europe,1,web,1,0,0
20216,control,north_america,1,ios,1,1,0
18324,treatment,africa,1,web,0,0,0
12424,control,north_america,1,android,0,0,0
17157,control,asia,1,android,1,1,0
15257,control,europe,1,ios,1,0,0
