id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing
48981,treatment,1,1,0
53434,control,1,0,0
43283,control,0,0,0
62347,treatment,1,1,0
10062,control,0,0,0
64223,control,0,0,0
69378,treatment,1,0,0
40832,treatment,0,0,0
30741,treatment,0,0,0
25799,treatment,1,0,0
31550,treatment,0,0,0
17429,control,0,0,0
4869,control,0,0,0
60700,treatment,0,0,0
32259,treatment,1,0,0
5730,control,1,0,0
1336,treatment,0,0,0
51631,control,1,0,0
12357,treatment,1,0,0
36927,treatment,1,0,0
27700,treatment,1,1,0
1504,treatment,1,1,0
20913,treatment,0,0,0
3504,control,1,1,0
7309,treatment,1,0,0
4307,treatment,0,0,0
39841,control,0,0,0
55532,treatment,1,0,0
5926,control,1,0,0
35075,treatment,0,0,0
35816,treatment,1,0,0
49844,treatment,1,1,1
34800,control,0,0,0
9721,control,1,0,0
14385,control,1,0,0
18680,control,0,0,0
47769,control,0,0,0
31065,control,1,0,0
11888,treatment,0,0,0
42110,control,0,0,0
30904,control,0,0,0
29909,treatment,1,0,0
29631,control,0,0,0
57954,treatment,1,1,0
23547,treatment,0,0,0
23777,treatment,0,0,0
1330,control,1,0,0
10339,treatment,0,0,0
2632,control,1,0,0
42753,treatment,0,0,0
66967,treatment,1,1,1
47750,treatment,1,0,0
11923,control,1,1,0
58848,control,1,1,0
51192,control,1,1,0
39361,control,1,0,0
3203,treatment,0,0,0
35842,control,0,0,0
37919,treatment,0,0,0
8633,control,0,0,0
17825,control,0,0,0
48035,treatment,1,0,0
31408,control,0,0,0
13095,treatment,1,1,0
14969,control,0,0,0
2672,treatment,0,0,0
40247,treatment,0,0,0
27590,control,0,0,0
2690,control,0,0,0
24606,control,1,1,0
15207,control,0,0,0
1026,control,1,1,0
62616,control,0,0,0
9500,control,0,0,0
40649,treatment,1,0,0
6350,treatment,0,0,0
8528,control,0,0,0
27729,treatment,0,0,0
40700,control,1,1,0
28583,treatment,1,1,0
55072,treatment,0,0,0
46193,treatment,0,0,0
42422,treatment,0,0,0
32378,control,0,0,0
60620,treatment,1,1,0
16579,treatment,1,0,0
29170,control,0,0,0
67372,treatment,0,0,0
34719,control,1,0,0
65890,control,0,0,0
69533,control,1,0,0
52359,treatment,1,1,0
43204,treatment,1,0,0
26806,control,0,0,0
62571,control,1,0,0
68295,control,0,0,0
44785,treatment,0,0,0
56071,treatment,0,0,0
44462,treatment,0,0,0
22999,treatment,1,1,0
65775,control,0,0,0
43490,control,1,0,0
45187,control,1,0,0
60677,treatment,1,0,0
44632,treatment,0,0,0
321,control,1,0,0
49873,control,1,1,0
39678,treatment,1,1,0
44633,treatment,0,0,0
51432,treatment,0,0,0
2572,treatment,0,0,0
10301,treatment,0,0,0
63089,control,0,0,0
63084,control,1,0,0
7889,treatment,0,0,0
29202,control,1,0,0
54595,treatment,1,0,0
747,control,0,0,0
69890,treatment,0,0,0
62932,control,0,0,0
20657,control,1,1,0
6525,treatment,0,0,0
20464,control,0,0,0
8923,control,0,0,0
18482,control,0,0,0
7989,control,1,0,0
25574,treatment,0,0,0
23245,control,1,1,0
60558,treatment,0,0,0
34401,control,0,0,0
52412,treatment,1,1,0
57336,treatment,0,0,0
47798,control,0,0,0
67714,control,1,0,0
11639,treatment,0,0,0
59336,treatment,1,1,0
68638,control,0,0,0
48677,treatment,0,0,0
62518,control,1,0,0
48879,control,1,1,0
39835,control,0,0,0
5006,control,0,0,0
43611,treatment,1,0,0
12902,control,1,0,0
34744,treatment,1,0,0
36373,control,0,0,0
8675,treatment,1,1,0
47261,control,0,0,0
63905,treatment,0,0,0
27353,control,1,1,0
37981,treatment,1,1,0
66730,control,1,1,0
45967,control,1,0,0
13061,treatment,0,0,0
55722,treatment,1,0,0
60391,control,0,0,0
41048,control,0,0,0
5838,control,0,0,0
30364,treatment,0,0,0
59735,control,0,0,0
17164,treatment,1,0,0
5962,treatment,0,0,0
23399,treatment,0,0,0
53007,control,0,0,0
28882,control,1,1,0
23415,treatment,1,0,0
6382,treatment,0,0,0
46090,treatment,0,0,0
67566,treatment,1,0,0
