id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing
99196,treatment,1,1,0
38179,control,1,1,0
102650,control,0,0,0
25217,control,1,1,0
13019,control,1,0,0
11224,treatment,0,0,0
73639,treatment,0,0,0
521,treatment,0,0,0
87488,control,0,0,0
35136,control,0,0,0
39958,treatment,1,0,0
24823,control,0,0,0
102092,treatment,1,1,0
83828,control,1,0,0
80492,treatment,1,0,0
39848,control,0,0,0
23956,control,0,0,0
91531,treatment,0,0,0
111433,treatment,0,0,0
70560,treatment,1,1,0
85864,control,0,0,0
108062,treatment,0,0,0
74991,control,0,0,0
68666,control,1,1,0
80790,treatment,0,0,0
10229,control,0,0,0
55285,treatment,0,0,0
91020,control,0,0,0
74464,treatment,1,0,0
38954,control,0,0,0
67838,treatment,0,0,0
55434,treatment,1,0,0
7978,treatment,1,0,0
51105,control,1,1,0
101697,treatment,0,0,0
91089,control,1,0,0
59255,treatment,1,1,0
68354,treatment,0,0,0
34956,control,0,0,0
58995,treatment,1,1,0
64317,treatment,0,0,0
52589,control,0,0,0
41496,control,1,1,0
80783,control,0,0,0
58021,control,1,0,0
10096,treatment,0,0,0
18228,treatment,1,1,0
51293,treatment,0,0,0
48249,treatment,0,0,0
47621,control,0,0,0
27555,treatment,1,0,0
67141,control,1,1,1
26129,treatment,0,0,0
61528,treatment,1,0,0
5023,treatment,1,0,0
104829,treatment,1,1,0
6984,control,0,0,0
82819,control,0,0,0
82692,treatment,1,0,0
108008,control,0,0,0
111193,treatment,1,0,0
33577,control,0,0,0
54363,control,0,0,0
30898,control,1,1,0
82757,control,0,0,0
57724,treatment,1,1,1
21208,control,0,0,0
2644,control,1,0,0
100784,control,0,0,0
34096,control,0,0,0
30754,control,1,1,0
94879,treatment,1,0,0
101015,control,0,0,0
77603,control,0,0,0
81884,treatment,0,0,0
28835,control,0,0,0
85867,control,1,1,0
39778,control,0,0,0
38569,treatment,1,0,0
75320,control,0,0,0
16165,treatment,0,0,0
13783,treatment,0,0,0
110554,control,0,0,0
94895,treatment,0,0,0
17165,treatment,1,0,0
99512,control,0,0,0
89499,treatment,1,0,0
60842,treatment,1,1,0
60914,treatment,0,0,0
22767,treatment,0,0,0
12111,control,1,0,0
51590,treatment,0,0,0
23865,treatment,0,0,0
90235,treatment,1,1,0
28632,control,1,0,0
28204,treatment,1,0,0
32535,treatment,1,1,0
109600,treatment,0,0,0
77207,control,0,0,0
86708,control,0,0,0
107357,control,0,0,0
86510,control,1,0,0
86722,control,1,1,0
75132,treatment,1,0,0
16839,control,0,0,0
11043,treatment,1,0,0
56971,control,0,0,0
63765,control,0,0,0
17271,treatment,1,0,0
48060,control,0,0,0
37079,treatment,0,0,0
53298,control,0,0,0
110517,treatment,0,0,0
46471,treatment,1,0,0
23347,treatment,0,0,0
27451,treatment,0,0,0
54889,treatment,0,0,0
72009,treatment,0,0,0
53086,control,0,0,0
32009,control,0,0,0
89633,treatment,0,0,0
3654,treatment,1,0,0
86447,treatment,0,0,0
110553,treatment,0,0,0
30369,treatment,0,0,0
84413,control,1,1,1
36700,control,1,1,0
53879,control,0,0,0
43110,treatment,1,1,0
68941,treatment,1,0,0
91317,treatment,1,0,0
71648,control,0,0,0
24748,treatment,0,0,0
73236,control,1,1,0
71905,control,1,0,0
63438,control,0,0,0
13698,treatment,0,0,0
62705,treatment,0,0,0
35220,control,0,0,0
23291,treatment,1,1,0
36394,control,1,0,0
20029,control,1,1,0
103543,treatment,1,0,0
107306,treatment,1,0,0
20603,treatment,0,0,0
73169,control,0,0,0
51204,treatment,1,0,0
100265,control,1,1,0
88021,control,1,1,0
47354,control,1,0,0
104347,treatment,0,0,0
60315,control,0,0,0
14538,control,1,1,0
15319,control,1,0,0
108972,treatment,1,1,0
109541,treatment,1,0,0
39409,treatment,0,0,0
111254,control,1,1,0
77584,control,0,0,0
44497,treatment,0,0,0
33111,control,0,0,0
79274,control,1,1,0
87699,control,1,0,0
19980,treatment,1,1,0
6508,control,0,0,0
86843,treatment,1,0,0
77031,control,0,0,0
24328,control,1,1,0
18798,treatment,0,0,0
96859,treatment,1,0,0
82812,treatment,1,0,0
95777,treatment,0,0,0
99664,treatment,1,1,0
45913,control,0,0,0
79707,control,0,0,0
21467,control,0,0,0
40895,control,0,0,0
92955,treatment,1,0,0
54253,treatment,0,0,0
104214,control,0,0,0
62525,treatment,0,0,0
24735,control,0,0,0
53379,treatment,1,1,0
45006,control,0,0,0
71340,control,1,0,0
64757,treatment,1,0,0
73505,treatment,0,0,0
104402,treatment,0,0,0
85222,control,1,0,0
20046,control,0,0,0
103898,treatment,1,0,0
109958,control,0,0,0
53850,control,0,0,0
31428,treatment,1,0,0
56280,treatment,0,0,0
30970,treatment,0,0,0
4968,treatment,1,1,0
50815,control,1,1,0
97592,treatment,1,0,0
2209,control,1,0,0
35602,control,1,0,0
75501,treatment,0,0,0
16837,treatment,1,0,0
85155,control,0,0,0
95842,treatment,1,1,0
12356,control,0,0,0
33594,control,0,0,0
63428,treatment,1,0,0
31578,treatment,0,0,0
84026,control,1,0,0
22819,control,0,0,0
33563,treatment,0,0,0
6559,treatment,0,0,0
17440,control,0,0,0
69781,control,0,0,0
34571,treatment,0,0,0
52950,treatment,0,0,0
13641,treatment,0,0,0
109567,treatment,0,0,0
26658,treatment,0,0,0
16787,treatment,0,0,0
107097,treatment,0,0,0
39721,control,0,0,0
5824,control,1,1,0
65820,treatment,1,0,0
7862,treatment,0,0,0
84016,control,1,1,0
