id_user,variant,continent,booked_previously,device,new_active_listing,new_booked_listing,new_cancelled_listing
1774,control,africa,0,web,0,0,0
1638,control,australia,0,ios,1,1,0
55,control,north_america,0,android,1,0,0
64,control,asia,0,android,1,0,0
1704,control,africa,0,web,0,0,0
1170,control,europe,1,android,0,0,0
830,control,europe,0,ios,0,0,0
1105,control,europe,0,android,0,0,0
300,control,north_america,0,web,0,0,0
1534,control,north_america,0,android,1,0,0
84,control,south_america,1,android,1,0,0
1708,control,europe,0,ios,1,0,0
1269,control,north_america,0,android,0,0,0
840,control,north_america,1,web,1,0,0
1564,control,north_america,0,ios,1,0,0
489,control,north_america,0,ios,0,0,0
627,control,north_america,1,ios,1,0,0
1165,control,north_america,0,android,0,0,0
498,control,europe,1,web,0,0,0
197,control,north_america,0,ios,1,0,0
562,control,north_america,1,ios,0,0,0
1518,control,europe,0,ios,0,0,0
939,control,north_america,0,ios,0,0,0
864,control,europe,0,android,1,0,0
1866,control,north_america,0,ios,0,0,0
139,control,africa,0,android,1,0,0
1721,control,north_america,0,android,0,0,0
1695,control,north_america,1,android,0,0,0
465,control,africa,0,web,1,0,0
1087,control,asia,0,android,0,0,0
1161,control,north_america,0,android,1,0,0
1825,control,north_america,1,ios,1,0,0
865,control,north_america,0,ios,1,1,0
1429,control,north_america,0,ios,1,0,0
179,control,north_america,0,ios,1,0,0
697,control,north_america,0,android,1,0,0
1658,control,europe,0,web,1,0,0
1320,control,north_america,0,web,1,0,0
1420,control,europe,0,android,0,0,0
1314,control,north_america,0,android,0,0,0
22,control,europe,0,android,1,0,0
385,control,europe,0,android,1,0,0
1578,control,europe,0,ios,1,0,0
1689,control,north_america,0,android,1,1,0
1134,control,africa,0,android,0,0,0
1129,control,south_america,0,android,1,0,0
1085,control,north_america,0,ios,1,0,0
941,control,north_america,0,web,1,0,0
447,control,europe,0,ios,0,0,0
1294,control,europe,0,android,1,1,0
1379,control,north_america,1,android,1,1,0
695,control,north_america,0,android,1,0,0
222,control,australia,0,ios,0,0,0
1391,control,south_america,0,android,1,0,0
1221,control,europe,0,ios,1,0,0
887,control,south_america,0,android,1,1,0
69,control,europe,0,ios,1,1,0
173,control,europe,0,android,1,0,0
1260,control,north_america,0,ios,1,0,0
1576,control,europe,0,android,1,0,0
1748,control,europe,0,android,1,0,0
199,control,europe,1,android,1,0,0
1801,control,australia,0,ios,0,0,0
773,control,africa,0,android,0,0,0
1769,control,africa,0,android,1,0,0
153,control,south_america,0,android,1,0,0
67,control,north_america,0,ios,1,0,0
1350,control,north_america,1,ios,1,0,0
1457,control,north_america,0,ios,0,0,0
361,control,europe,1,android,1,0,0
335,control,north_america,0,ios,0,0,0
1759,control,europe,0,ios,1,0,0
616,control,north_america,0,ios,0,0,0
1796,control,north_america,0,android,1,1,0
790,control,europe,0,android,1,0,0
1909,control,north_america,0,ios,0,0,0
1385,control,north_america,0,android,1,0,0
112,control,north_america,0,ios,1,1,0
751,control,south_america,0,android,1,0,0
440,control,north_america,0,ios,1,0,0
124,control,asia,0,android,1,0,0
85,control,north_america,1,ios,1,1,0
1644,control,north_america,0,ios,1,0,0
1779,control,north_america,0,web,0,0,0
1247,control,europe,0,android,1,0,0
1301,control,north_america,0,ios,0,0,0
479,control,north_america,1,ios,0,0,0
1589,control,africa,0,android,1,0,0
1619,control,europe,0,android,1,0,0
854,control,europe,0,android,0,0,0
1401,control,europe,0,android,1,0,0
1048,control,europe,0,android,0,0,0
665,control,australia,0,android,0,0,0
129,control,north_america,0,android,0,0,0
1254,control,australia,1,ios,1,0,0
1222,control,north_america,0,web,0,0,0
155,control,north_america,0,android,1,1,0
649,control,australia,1,ios,0,0,0
1494,control,north_america,0,ios,0,0,0
377,control,north_america,0,web,1,1,0
33,control,europe,0,android,1,1,0
1095,control,europe,0,android,0,0,0
401,control,africa,0,android,0,0,0
2,control,south_america,0,android,1,0,0
1375,control,north_america,0,android,1,0,0
914,control,south_america,0,android,0,0,0
1565,control,europe,0,ios,1,0,0
117,control,europe,0,android,1,0,0
673,control,europe,0,android,0,0,0
1497,control,europe,0,android,1,0,0
1545,control,europe,1,android,1,0,0
60,control,north_america,1,ios,0,0,0
566,control,north_america,0,web,1,1,0
868,control,north_america,1,android,1,0,0
1667,control,north_america,0,android,1,0,0
612,control,north_america,0,ios,1,0,0
1372,control,south_america,0,android,0,0,0
1284,control,europe,0,android,1,0,0
99,control,north_america,0,ios,0,0,0
1071,control,africa,0,android,0,0,0
689,control,europe,0,ios,0,0,0
1159,control,europe,0,android,1,1,0
404,control,north_america,1,android,1,0,0
1797,control,europe,0,web,0,0,0
959,control,north_america,0,ios,1,0,0
928,control,north_america,0,android,0,0,0
316,control,asia,0,android,1,0,0
1084,control,north_america,1,android,0,0,0
370,control,north_america,0,ios,1,0,0
937,control,north_america,0,web,1,0,0
151,control,europe,0,android,1,0,0
1888,control,europe,0,ios,1,1,0
326,control,north_america,0,android,1,1,0
1264,control,europe,0,ios,1,0,0
953,control,north_america,0,android,0,0,0
1279,control,europe,0,android,0,0,0
281,control,north_america,0,ios,0,0,0
494,control,north_america,0,ios,1,1,0
1051,control,north_america,0,ios,1,0,0
1397,control,north_america,0,android,0,0,0
111,control,north_america,0,ios,0,0,0
1053,control,europe,0,android,1,1,0
556,control,africa,1,android,1,0,0
61,control,europe,0,android,1,1,0
1434,control,europe,0,ios,0,0,0
1896,control,europe,0,android,1,0,0
68,control,north_america,0,ios,1,0,0
903,control,north_america,1,ios,0,0,0
328,control,north_america,0,ios,0,0,0
346,control,north_america,0,ios,1,0,0
1047,control,north_america,0,ios,0,0,0
1344,control,north_america,0,ios,0,0,0
214,control,europe,0,ios,1,1,0
93,control,north_america,1,ios,1,1,0
1273,control,africa,0,web,1,0,0
1782,control,north_america,1,android,1,0,0
738,control,europe,1,ios,1,0,0
990,control,europe,0,ios,0,0,0
133,control,asia,0,android,1,0,0
541,control,north_america,1,ios,1,0,0
899,control,australia,1,android,1,0,0
1850,control,europe,0,android,1,0,0
1491,control,south_america,0,android,1,0,0
1090,control,north_america,0,android,0,0,0
1406,control,north_america,0,ios,0,0,0
273,control,north_america,0,ios,1,0,0
1444,control,europe,0,ios,1,0,0
1600,control,north_america,1,ios,1,0,0
962,control,south_america,0,android,0,0,0
1618,control,north_america,0,ios,1,0,0
1581,control,north_america,0,web,1,0,0
395,control,europe,0,web,0,0,0
1795,control,europe,0,android,1,0,0
1174,control,australia,0,android,0,0,0
374,control,north_america,0,ios,1,0,0
405,control,europe,0,android,1,0,0
1366,control,north_america,0,web,1,0,0
4,control,north_america,0,ios,1,0,0
1645,control,europe,0,android,0,0,0
934,control,north_america,0,android,0,0,0
588,control,north_america,0,ios,0,0,0
1113,control,south_america,0,android,1,1,0
794,control,europe,0,web,1,0,0
908,control,asia,0,web,1,0,0
668,control,africa,0,web,0,0,0
414,control,north_america,0,ios,0,0,0
1599,control,europe,0,android,1,1,0
1803,control,north_america,0,android,1,0,0
593,control,north_america,0,android,1,0,0
1251,control,africa,0,android,1,0,0
550,control,africa,0,ios,0,0,0
1059,control,north_america,0,android,0,0,0
1537,control,europe,1,ios,0,0,0
1469,control,asia,0,android,1,0,0
1365,control,north_america,0,ios,0,0,0
761,control,europe,0,ios,1,1,0
621,control,south_america,0,android,0,0,0
1641,control,africa,0,android,1,0,0
126,control,south_america,1,android,1,1,0
678,control,north_america,0,ios,1,0,0
230,control,north_america,0,android,0,0,0
1857,control,south_america,1,android,1,0,0
1832,control,north_america,1,ios,1,1,0
1123,control,north_america,1,android,1,0,0
459,control,north_america,0,android,1,0,0
152,control,europe,0,android,1,0,0
453,control,europe,0,android,1,0,0
295,control,north_america,1,android,1,0,0
1341,control,north_america,1,android,1,0,0
565,control,north_america,0,ios,1,0,0
1215,control,europe,1,ios,0,0,0
1036,control,south_america,0,android,0,0,0
1044,control,north_america,0,ios,1,0,0
336,control,europe,0,android,1,0,0
1185,control,asia,0,web,1,0,0
198,control,europe,0,android,0,0,0
340,control,africa,1,android,1,1,0
534,control,europe,0,android,1,1,0
1570,control,north_america,0,ios,1,0,0
656,control,africa,0,android,1,0,0
211,control,north_america,0,ios,1,1,0
802,control,north_america,0,android,1,1,0
1439,control,north_america,1,android,1,1,0
1126,control,europe,0,ios,1,0,0
1743,control,australia,1,ios,0,0,0
1726,control,north_america,0,web,0,0,0
948,control,europe,1,android,1,0,0
981,control,australia,0,ios,1,0,0
357,control,africa,0,android,1,0,0
1792,control,asia,0,android,1,0,0
1062,control,north_america,1,android,1,0,0
897,control,europe,1,ios,1,0,0
420,control,europe,0,ios,1,0,0
