id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing
1304,treatment1,1,1,1
52035,treatment1,0,0,0
73776,control,1,0,0
78933,control,0,0,0
30566,control,0,0,0
85770,treatment1,0,0,0
45533,treatment1,0,0,0
41387,control,0,0,0
72959,treatment2,1,1,0
877,treatment2,0,0,0
100721,control,0,0,0
77316,treatment1,0,0,0
62394,control,1,0,0
37395,treatment2,1,0,0
31932,control,0,0,0
6913,control,0,0,0
102772,treatment2,0,0,0
51365,treatment1,0,0,0
100762,control,1,0,0
25077,treatment2,0,0,0
18482,treatment1,1,0,0
74885,treatment2,0,0,0
108893,treatment1,1,1,0
68316,control,0,0,0
10296,treatment1,1,0,0
65782,treatment2,0,0,0
97720,treatment2,1,1,0
13500,treatment1,1,1,0
49726,control,1,0,0
6175,treatment1,1,0,0
30770,treatment1,0,0,0
42809,control,1,0,0
6307,treatment2,0,0,0
50648,treatment2,0,0,0
73730,treatment1,1,0,0
7714,treatment1,0,0,0
47296,treatment1,1,0,0
18587,treatment2,0,0,0
21990,control,0,0,0
102653,control,0,0,0
59170,control,0,0,0
39204,treatment2,0,0,0
42727,treatment1,1,0,0
44325,control,0,0,0
69304,treatment2,0,0,0
74045,control,0,0,0
100041,control,0,0,0
74076,treatment1,1,1,0
75848,control,0,0,0
1009,treatment1,0,0,0
61087,treatment2,1,0,0
62916,control,0,0,0
3325,control,1,1,0
99829,treatment1,0,0,0
102351,control,0,0,0
35993,control,0,0,0
63732,treatment2,0,0,0
17085,treatment2,0,0,0
80310,treatment1,0,0,0
108842,control,1,0,0
77026,treatment2,0,0,0
22655,treatment1,0,0,0
15020,treatment2,0,0,0
26596,treatment1,0,0,0
27040,treatment2,1,1,0
75461,control,1,0,0
78361,control,0,0,0
58579,treatment1,0,0,0
90624,treatment1,0,0,0
89685,treatment2,1,0,0
44100,treatment1,0,0,0
54,treatment1,0,0,0
95951,treatment1,0,0,0
87246,treatment1,1,1,0
38246,treatment1,1,0,0
67518,treatment1,0,0,0
9778,treatment2,0,0,0
34902,treatment1,0,0,0
70987,treatment2,1,1,0
87265,treatment2,0,0,0
106110,treatment2,1,1,0
44595,control,0,0,0
34243,control,1,1,0
63059,treatment2,0,0,0
34062,control,0,0,0
84054,treatment2,1,0,0
51232,treatment2,0,0,0
12349,treatment1,0,0,0
35982,control,1,0,0
47454,control,0,0,0
51130,treatment2,0,0,0
6295,control,0,0,0
53403,treatment2,1,1,0
92687,treatment1,1,0,0
34473,treatment2,1,0,0
91597,control,1,1,0
77654,treatment1,1,0,0
10950,control,0,0,0
57203,treatment2,0,0,0
59862,treatment2,0,0,0
99494,treatment1,0,0,0
78035,treatment1,0,0,0
18231,treatment2,0,0,0
53900,control,0,0,0
35772,control,0,0,0
110440,treatment1,1,0,0
42282,control,1,0,0
46930,treatment1,1,0,0
93060,control,0,0,0
76764,treatment1,0,0,0
74781,control,0,0,0
5945,treatment2,1,1,0
34075,treatment2,1,1,0
1453,control,1,0,0
52150,treatment1,1,1,0
65996,control,0,0,0
37572,control,0,0,0
27953,treatment2,1,0,0
11693,treatment1,1,1,0
38809,treatment2,1,0,0
54867,treatment2,0,0,0
34493,treatment2,1,1,0
95888,treatment1,1,0,0
39294,control,1,1,1
91370,treatment1,1,1,0
31084,treatment2,0,0,0
80488,control,0,0,0
44568,treatment1,0,0,0
51175,treatment1,1,1,0
67127,treatment2,0,0,0
71228,treatment1,0,0,0
99186,treatment1,0,0,0
99793,treatment1,0,0,0
91467,control,1,0,0
18073,treatment1,1,1,0
88079,treatment2,1,0,0
108084,treatment1,1,0,0
92118,control,0,0,0
82763,control,0,0,0
34221,control,1,0,0
79791,control,0,0,0
107490,control,0,0,0
71916,control,0,0,0
88429,treatment2,0,0,0
59783,control,0,0,0
86252,control,1,1,0
22395,treatment1,0,0,0
9426,treatment1,1,1,0
33919,treatment1,0,0,0
38406,treatment2,0,0,0
2781,treatment2,0,0,0
83409,treatment2,0,0,0
92209,treatment2,1,1,0
54258,control,0,0,0
95515,control,0,0,0
22606,control,1,0,0
59775,treatment1,1,0,0
66013,treatment2,0,0,0
15453,treatment2,0,0,0
78964,control,1,0,0
76024,control,1,0,0
83012,control,1,0,0
110797,treatment1,1,1,0
56587,treatment2,0,0,0
32323,treatment2,0,0,0
75723,treatment2,1,0,0
13194,control,0,0,0
93073,treatment1,0,0,0
84576,treatment1,1,0,0
45385,treatment2,1,0,0
63202,control,0,0,0
56730,treatment1,0,0,0
7964,treatment2,0,0,0
34211,treatment1,1,0,0
89686,treatment1,0,0,0
33693,control,0,0,0
55492,treatment2,1,0,0
81516,treatment1,0,0,0
85479,treatment2,0,0,0
105412,treatment1,0,0,0
19648,treatment2,0,0,0
21710,control,0,0,0
65774,treatment1,1,0,0
11953,treatment1,0,0,0
70138,treatment2,0,0,0
17608,control,0,0,0
100989,treatment1,0,0,0
47523,treatment1,0,0,0
39892,control,0,0,0
66265,control,0,0,0
78914,treatment2,0,0,0
70233,control,0,0,0
11762,treatment1,0,0,0
49369,treatment1,1,1,0
21394,treatment2,0,0,0
87363,treatment1,1,0,0
8316,treatment2,1,1,0
9909,control,1,0,0
96930,treatment1,0,0,0
56715,treatment1,1,0,0
48874,treatment2,0,0,0
21689,control,0,0,0
105840,treatment1,0,0,0
96504,treatment2,1,1,1
45181,treatment2,1,0,0
107596,treatment1,0,0,0
5162,treatment1,1,1,0
102871,control,0,0,0
84284,treatment2,0,0,0
74210,control,1,0,0
105118,control,1,1,0
9129,treatment2,0,0,0
18815,treatment2,1,1,0
14218,treatment2,0,0,0
103457,treatment1,0,0,0
30289,treatment1,0,0,0
82956,treatment2,0,0,0
77678,treatment1,1,0,0
44256,treatment1,1,1,0
38903,treatment1,0,0,0
54313,treatment1,1,0,0
53829,treatment2,0,0,0
32408,control,0,0,0
65812,treatment2,0,0,0
69983,control,0,0,0
76814,treatment1,0,0,0
106404,treatment1,0,0,0
40387,treatment1,1,0,0
70065,treatment1,0,0,0
90816,treatment2,0,0,0
99065,treatment1,1,0,0
23861,treatment2,0,0,0
34575,control,0,0,0
3823,treatment2,1,1,0
11100,treatment1,0,0,0
57243,treatment2,0,0,0
26971,treatment1,1,0,0
84695,treatment2,1,0,0
71406,treatment1,0,0,0
34899,treatment1,1,0,0
72460,treatment1,0,0,0
98048,treatment1,0,0,0
47810,treatment1,0,0,0
8174,control,1,0,0
102932,control,0,0,0
73445,treatment1,1,1,0
37981,control,1,1,0
2153,treatment2,1,0,0
111061,control,0,0,0
13431,treatment1,1,1,1
9574,treatment2,0,0,0
13985,treatment1,0,0,0
109282,treatment1,0,0,0
66345,treatment2,0,0,0
11397,control,0,0,0
76763,treatment1,1,0,0
102333,control,0,0,0
