id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing
59561,treatment,0,0,0
92794,control,0,0,0
93179,treatment,1,1,0
48044,control,0,0,0
56946,treatment,0,0,0
91946,control,1,0,0
64084,treatment,0,0,0
13707,control,0,0,0
96882,control,0,0,0
105400,treatment,0,0,0
93998,treatment,1,1,0
40587,treatment,1,0,0
18904,control,1,0,0
99293,treatment,1,0,0
12215,treatment,0,0,0
38091,control,0,0,0
33374,treatment,0,0,0
67377,control,0,0,0
17939,control,1,1,0
20917,control,0,0,0
16637,control,0,0,0
91953,treatment,0,0,0
84372,treatment,0,0,0
17092,control,0,0,0
3007,treatment,0,0,0
93498,treatment,1,0,0
67272,treatment,1,0,0
93968,treatment,1,0,0
99091,treatment,0,0,0
33352,treatment,0,0,0
55637,control,0,0,0
25886,treatment,0,0,0
56236,treatment,1,0,0
30924,control,1,1,0
104378,control,0,0,0
107985,control,0,0,0
21473,treatment,0,0,0
69143,treatment,0,0,0
7034,control,1,0,0
41844,control,1,1,0
86095,treatment,1,0,0
13106,treatment,0,0,0
61114,control,0,0,0
79091,control,1,0,0
12676,control,0,0,0
24082,control,0,0,0
66491,treatment,1,0,0
5067,control,0,0,0
47620,treatment,0,0,0
103950,treatment,0,0,0
98514,treatment,0,0,0
16927,treatment,0,0,0
92782,control,0,0,0
50466,treatment,0,0,0
23680,control,1,1,0
103372,treatment,1,1,0
68532,control,0,0,0
55123,control,1,1,0
110697,treatment,0,0,0
9451,treatment,0,0,0
69655,treatment,1,0,0
53945,control,0,0,0
85102,control,0,0,0
13637,control,0,0,0
57199,control,1,0,0
39646,treatment,0,0,0
111168,control,0,0,0
91487,control,1,0,0
45749,treatment,0,0,0
57727,control,0,0,0
98510,treatment,0,0,0
61531,treatment,0,0,0
89754,treatment,0,0,0
76603,control,0,0,0
104186,control,0,0,0
42507,treatment,0,0,0
60579,control,0,0,0
73324,treatment,0,0,0
75487,control,1,0,0
14742,treatment,1,1,1
70015,treatment,1,1,0
63837,treatment,0,0,0
78707,treatment,1,1,0
19662,treatment,0,0,0
77078,treatment,1,1,1
44564,control,0,0,0
10144,treatment,0,0,0
14276,treatment,0,0,0
105563,treatment,0,0,0
22951,control,0,0,0
57714,control,0,0,0
93100,treatment,1,0,0
89187,treatment,1,0,0
107100,control,0,0,0
32167,treatment,1,1,0
53196,control,0,0,0
55845,control,1,1,0
75452,treatment,1,0,0
65209,treatment,0,0,0
35014,treatment,0,0,0
56641,treatment,0,0,0
50903,control,1,0,0
99032,control,0,0,0
78448,control,0,0,0
63263,treatment,0,0,0
107715,control,1,1,0
21380,treatment,0,0,0
105785,treatment,0,0,0
83023,treatment,0,0,0
71170,treatment,1,1,0
60956,control,1,0,0
49413,control,0,0,0
53837,treatment,1,1,0
99734,control,0,0,0
102611,control,1,0,0
99211,control,1,0,0
72256,treatment,0,0,0
33131,treatment,0,0,0
54657,treatment,0,0,0
100158,treatment,1,0,0
78295,control,0,0,0
63378,control,0,0,0
103367,treatment,1,0,0
40214,control,1,0,0
81297,treatment,1,1,0
19481,treatment,0,0,0
14598,treatment,0,0,0
36051,control,0,0,0
39769,treatment,1,0,0
4344,treatment,0,0,0
97142,treatment,1,0,0
99054,control,1,1,0
16361,treatment,1,1,0
5179,treatment,0,0,0
33914,treatment,0,0,0
2804,treatment,0,0,0
73449,treatment,0,0,0
20039,treatment,0,0,0
31937,treatment,0,0,0
81931,control,0,0,0
21291,control,1,0,0
98678,control,1,1,0
83204,control,1,0,0
79791,control,1,0,0
39843,control,1,1,0
79126,treatment,0,0,0
39706,control,1,1,0
40391,treatment,1,0,0
94868,control,1,1,0
19159,control,1,1,0
27642,control,0,0,0
25972,control,0,0,0
24334,treatment,0,0,0
11320,control,0,0,0
83656,control,0,0,0
58344,treatment,0,0,0
64075,treatment,0,0,0
81906,treatment,0,0,0
99241,treatment,1,0,0
57332,treatment,1,1,0
90887,control,0,0,0
106542,treatment,1,1,0
52330,treatment,1,1,0
5938,control,0,0,0
109668,control,1,0,0
17594,treatment,0,0,0
53189,control,1,1,0
91935,treatment,0,0,0
4979,control,1,1,0
29314,treatment,1,0,0
59265,treatment,1,1,0
6103,control,1,0,0
102360,treatment,0,0,0
39181,control,0,0,0
27540,control,0,0,0
14187,treatment,0,0,0
63057,control,0,0,0
19078,control,1,0,0
63195,treatment,1,1,0
30335,control,0,0,0
85967,treatment,0,0,0
111495,treatment,0,0,0
55300,control,0,0,0
109796,treatment,1,1,0
88746,treatment,0,0,0
77298,control,0,0,0
76296,treatment,0,0,0
24699,control,0,0,0
38482,treatment,1,0,0
49862,treatment,1,1,0
59209,control,0,0,0
110912,control,1,0,0
96378,treatment,0,0,0
92257,control,1,1,0
4813,treatment,0,0,0
23671,control,0,0,0
62160,treatment,1,1,0
17239,control,0,0,0
46345,control,0,0,0
72863,control,0,0,0
45205,control,1,1,0
63965,control,0,0,0
38079,control,0,0,0
827,control,1,0,0
88485,control,0,0,0
51589,control,1,1,0
13285,control,1,1,0
1382,treatment,0,0,0
26049,control,0,0,0
47077,treatment,0,0,0
55350,control,0,0,0
33506,treatment,0,0,0
14995,control,1,0,0
12590,treatment,1,0,0
24516,treatment,1,1,0
59163,control,0,0,0
83480,treatment,0,0,0
23632,treatment,1,1,0
9701,treatment,0,0,0
100626,treatment,0,0,0
23809,treatment,0,0,0
91261,treatment,0,0,0
87668,treatment,0,0,0
14484,control,0,0,0
60100,treatment,1,1,0
94946,control,0,0,0
44420,treatment,0,0,0
110181,control,1,0,0
75504,control,1,0,0
78011,treatment,0,0,0
47293,control,1,0,0
65163,control,1,1,0
72323,control,0,0,0
67077,control,0,0,0
1247,control,1,1,0
64375,treatment,0,0,0
43810,treatment,0,0,0
96867,control,0,0,0
34459,treatment,1,1,0
27703,control,0,0,0
27145,control,1,1,0
72388,control,0,0,0
25892,control,0,0,0
86856,treatment,1,1,0
23091,control,1,1,0
58646,treatment,0,0,0
74466,treatment,0,0,0
21292,treatment,0,0,0
80705,treatment,1,1,0
32533,treatment,1,1,0
36515,treatment,0,0,0
81586,control,1,0,0
31877,treatment,1,1,0
97833,control,0,0,0
83968,control,0,0,0
91392,control,1,1,0
56456,treatment,0,0,0
106188,control,1,0,0
43968,treatment,0,0,0
54928,treatment,1,1,0
79698,control,0,0,0
10249,treatment,1,0,0
91210,treatment,0,0,0
74014,control,0,0,0
22587,control,1,1,0
11174,control,0,0,0
105657,treatment,0,0,0
68683,control,1,1,0
54141,treatment,0,0,0
109491,treatment,0,0,0
70767,treatment,1,1,0
21871,control,0,0,0
47971,control,0,0,0
76822,control,0,0,0
15521,treatment,0,0,0
49886,treatment,0,0,0
89392,treatment,0,0,0
78495,treatment,0,0,0
6723,control,0,0,0
23367,control,0,0,0
9396,control,0,0,0
50749,control,0,0,0
107010,treatment,1,1,0
82283,control,0,0,0
2632,treatment,0,0,0
53258,treatment,1,1,0
74876,treatment,0,0,0
64898,treatment,0,0,0
56668,treatment,0,0,0
38159,treatment,0,0,0
74152,treatment,0,0,0
27330,control,0,0,0
91439,control,0,0,0
3727,treatment,0,0,0
9705,control,1,0,0
20563,control,0,0,0
26011,treatment,0,0,0
10647,treatment,0,0,0
18115,treatment,1,1,0
81598,treatment,0,0,0
66615,treatment,0,0,0
21072,control,0,0,0
55147,control,0,0,0
17273,treatment,0,0,0
73528,control,0,0,0
19847,control,0,0,0
40779,control,0,0,0
96888,treatment,0,0,0
34062,control,0,0,0
28957,treatment,0,0,0
256,control,0,0,0
104893,control,0,0,0
26162,treatment,1,1,0
28495,treatment,0,0,0
6243,control,0,0,0
34485,treatment,0,0,0
88723,control,0,0,0
65729,treatment,1,1,0
108604,control,0,0,0
53549,control,1,0,0
69856,treatment,0,0,0
72260,control,0,0,0
98691,treatment,1,1,0
60550,control,1,1,0
56227,control,1,1,0
78618,control,1,0,0
110627,control,0,0,0
108074,treatment,0,0,0
14248,treatment,0,0,0
92072,treatment,0,0,0
67870,control,1,1,0
12298,control,0,0,0
52249,control,0,0,0
96038,control,0,0,0
67814,treatment,0,0,0
68567,control,1,1,0
67740,treatment,0,0,0
95066,treatment,0,0,0
3618,treatment,0,0,0
54396,treatment,0,0,0
24018,control,1,0,0
85398,control,0,0,0
64325,treatment,0,0,0
3922,control,1,0,0
14623,control,0,0,0
84880,treatment,1,1,0
81955,treatment,1,0,0
70499,treatment,1,0,0
83634,treatment,1,0,0
79481,control,0,0,0
95358,control,0,0,0
103210,treatment,1,0,0
70057,treatment,0,0,0
66987,treatment,0,0,0
93260,control,0,0,0
110761,treatment,1,0,0
48177,control,0,0,0
33566,control,0,0,0
59867,control,0,0,0
