id_user,variant,continent,booked_previously,device,new_active_listing,new_booked_listing,new_cancelled_listing,hrs_in_exp
7181,control,europe,0,android,1,0,0,16.60441848676139
11229,treatment,north_america,0,android,1,0,0,30.393129308923506
50786,treatment,europe,0,android,0,0,0,0.6447499139016633
9519,treatment,north_america,0,android,0,0,0,39.78868753737114
20281,control,north_america,0,android,1,0,0,27.96440448342709
7597,treatment,europe,0,android,0,0,0,45.181694270261374
30559,control,australia,0,android,1,0,0,15.845216484297852
22598,control,north_america,0,android,1,0,0,22.141169897432885
48186,control,europe,1,android,1,0,0,30.27122482976881
45681,treatment,north_america,0,android,0,0,0,1.3875354815811474
13866,treatment,north_america,0,android,0,0,0,9.138970884341548
39761,control,south_america,0,android,1,0,0,5.233489052777635
7688,control,europe,0,android,0,0,0,37.603070283676814
16954,treatment,europe,1,android,0,0,0,11.989869955271526
29474,treatment,north_america,0,android,0,0,0,32.77207950546438
47081,control,africa,0,android,0,0,0,37.55301798063231
42781,control,europe,0,android,1,0,0,25.28170319373581
34275,control,north_america,0,android,1,0,0,31.65861125761865
40474,treatment,north_america,1,android,0,0,0,24.955770299004723
55851,treatment,australia,0,android,0,0,0,44.3306996150371
26824,control,africa,0,android,1,0,0,45.45306487446288
13110,control,north_america,0,android,1,0,0,43.48146327559439
47662,treatment,europe,0,android,0,0,0,39.66634719705937
850,control,europe,0,android,1,0,0,7.59610013380965
44217,control,africa,0,android,1,0,0,26.80987397568189
27872,treatment,africa,0,android,1,0,0,8.176257072221471
32579,treatment,south_america,0,android,1,0,0,47.96160917822305
51757,control,north_america,0,android,1,1,0,33.82366288993479
2626,treatment,north_america,1,android,0,0,0,33.90217976183497
8684,control,south_america,1,android,0,0,0,31.97642508965959
60120,control,south_america,0,android,1,0,0,42.63926978565553
21571,treatment,north_america,1,android,0,0,0,32.64581918249051
45828,control,north_america,0,android,1,0,0,12.788453671681705
4843,control,north_america,0,android,0,0,0,4.698967603794775
17022,control,europe,0,android,1,0,0,5.480730136420732
49352,control,north_america,0,android,1,0,0,30.923320009323064
54130,treatment,europe,1,android,0,0,0,1.9779337318188583
14610,control,africa,0,android,0,0,0,32.36003865841349
38052,treatment,north_america,0,android,1,0,0,25.985419765382783
44823,control,north_america,1,android,1,0,0,2.6628014979448555
6087,control,africa,0,android,1,1,0,45.92288901202465
744,treatment,asia,1,android,1,0,0,42.341335659836055
10274,control,africa,0,android,1,0,0,17.03989480250557
28140,control,europe,0,android,1,0,0,3.6678576898990154
57835,treatment,north_america,0,android,0,0,0,13.546206776969733
51288,treatment,north_america,0,android,1,0,0,29.697732228443822
52642,control,europe,0,android,0,0,0,3.1618889891349857
7008,control,europe,0,android,1,0,0,29.84365972319336
48905,control,south_america,0,android,0,0,0,2.3028559401332296
57687,treatment,north_america,0,android,0,0,0,17.943154943857554
16282,treatment,north_america,0,android,1,1,0,47.16444401488687
1187,control,europe,0,android,1,0,0,31.459242330816952
57722,control,north_america,0,android,1,0,0,5.452077638131661
48333,control,north_america,0,android,1,0,0,3.981429125090711
7277,control,north_america,0,android,1,0,0,45.53065926969773
26566,treatment,europe,1,android,0,0,0,4.926381521869788
23850,control,africa,0,android,1,0,0,41.749804202633946
5320,treatment,australia,0,android,0,0,0,36.553832597162256
30480,control,europe,0,android,1,0,0,13.58054854822746
58616,control,north_america,0,android,0,0,0,31.039266281037584
43169,treatment,north_america,0,android,1,0,0,5.071816543538514
47604,control,north_america,0,android,1,1,0,32.40010901222451
47975,control,europe,0,android,1,0,0,34.645974664849504
11581,control,asia,0,android,1,0,0,9.002532569538804
37414,control,south_america,0,android,1,0,0,29.44284693890968
24204,treatment,north_america,0,android,0,0,0,44.12361630632399
16898,treatment,south_america,0,android,1,0,0,29.621648128980457
24381,control,europe,0,android,1,0,0,22.89782443630609
52833,control,south_america,0,android,1,0,0,45.90978304643548
4306,treatment,africa,0,android,0,0,0,3.61485586343607
22471,control,europe,0,android,1,0,0,47.155209666255736
46209,treatment,north_america,0,android,0,0,0,2.776585639539232
8703,treatment,north_america,0,android,0,0,0,15.95628953615696
44249,treatment,north_america,0,android,1,0,0,22.07410885632402
14367,control,asia,0,android,1,0,0,11.044562426119434
44218,control,europe,0,android,0,0,0,18.06722742419006
14121,control,north_america,0,android,1,0,0,0.6751942695425379
31643,treatment,north_america,0,android,0,0,0,36.53878987313617
1123,control,north_america,0,android,0,0,0,36.41871578689236
33712,treatment,europe,0,android,0,0,0,45.8693405734298
59804,treatment,europe,0,android,0,0,0,10.19724314536839
47239,control,europe,1,android,1,0,0,3.5460891877788807
14570,control,europe,0,android,0,0,0,13.390954656286858
16695,treatment,asia,0,android,0,0,0,17.136726890306857
11850,treatment,north_america,0,android,0,0,0,17.046747269099946
58657,treatment,south_america,0,android,0,0,0,33.895158543098105
2755,treatment,north_america,0,android,0,0,0,11.87579233251975
2736,treatment,north_america,1,android,0,0,0,4.196371778114902
50954,control,south_america,0,android,1,1,0,27.585649581909173
15940,treatment,africa,0,android,0,0,0,10.186972143954051
35035,treatment,north_america,0,android,0,0,0,19.32194201963542
54200,control,north_america,0,android,1,0,0,47.74988499302986
27569,control,north_america,0,android,1,0,0,20.105685914809648
28297,treatment,north_america,1,android,0,0,0,10.502925483775185
28716,treatment,north_america,0,android,1,0,0,7.062365090761475
19796,control,europe,0,android,1,0,0,37.31370122020507
31049,control,europe,0,android,1,1,0,13.166917850342074
35208,treatment,asia,0,android,0,0,0,0.8677148820656952
458,treatment,north_america,0,android,0,0,0,22.011530918921512
36016,treatment,africa,0,android,0,0,0,16.581856004041267
17611,control,europe,0,android,1,0,0,32.665366482638504
17335,control,south_america,0,android,1,0,0,18.211950828450068
12537,control,europe,1,android,1,0,0,18.02546750585248
52426,control,europe,1,android,1,0,0,44.8006242468195
33877,control,north_america,0,android,1,0,0,17.125519237264673
54898,control,europe,0,android,1,0,0,7.125794840592366
32987,treatment,australia,1,android,1,0,0,33.29010781806956
37362,treatment,north_america,0,android,1,0,0,32.09325421390123
31824,control,north_america,0,android,1,0,0,5.140879155299131
57279,treatment,north_america,0,android,1,1,0,24.59730146212886
26050,treatment,north_america,0,android,1,0,0,35.99575664608945
