id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing
3943,control,0,0,0
11935,control,0,0,0
9127,treatment,0,0,0
1614,control,1,0,0
5959,control,0,0,0
2,control,0,0,0
6761,control,1,0,0
8866,treatment,0,0,0
6586,treatment,0,0,0
11998,control,0,0,0
6809,control,0,0,0
13215,control,0,0,0
4532,treatment,0,0,0
4852,control,0,0,0
12077,treatment,0,0,0
4569,control,0,0,0
12963,control,0,0,0
2493,treatment,0,0,0
8637,control,0,0,0
9494,control,1,0,0
11776,treatment,0,0,0
2729,control,0,0,0
1061,treatment,1,0,0
10260,control,0,0,0
7439,treatment,0,0,0
8574,treatment,0,0,0
12441,control,1,0,0
146,treatment,0,0,0
1731,treatment,0,0,0
1865,control,1,0,0
11933,treatment,0,0,0
7393,treatment,0,0,0
1340,control,0,0,0
4294,treatment,1,1,0
8243,control,0,0,0
6009,control,0,0,0
1784,treatment,0,0,0
10729,treatment,1,1,1
9071,treatment,0,0,0
8438,control,0,0,0
10224,treatment,0,0,0
5858,control,1,0,0
5391,treatment,1,1,0
12457,treatment,0,0,0
5339,treatment,0,0,0
12944,treatment,0,0,0
12427,treatment,1,0,0
8392,control,0,0,0
5157,treatment,1,0,0
17,control,0,0,0
6763,treatment,1,1,0
12343,treatment,0,0,0
8374,treatment,0,0,0
4630,control,0,0,0
5623,control,1,1,0
334,control,1,1,0
687,control,0,0,0
3774,treatment,0,0,0
13982,control,0,0,0
3573,treatment,0,0,0
975,treatment,0,0,0
6306,control,0,0,0
898,control,0,0,0
7441,treatment,1,1,0
6987,control,0,0,0
4973,treatment,0,0,0
13690,control,1,1,0
10378,treatment,1,0,0
12996,control,1,0,0
7056,control,0,0,0
10553,treatment,0,0,0
147,treatment,1,0,0
1076,treatment,0,0,0
12704,treatment,1,1,0
6069,treatment,0,0,0
12541,control,1,0,0
13787,treatment,0,0,0
5336,treatment,1,0,0
9424,treatment,1,1,0
10280,treatment,0,0,0
5704,control,1,0,0
4933,control,1,1,0
9108,control,0,0,0
10234,control,0,0,0
4452,control,0,0,0
6942,treatment,0,0,0
564,control,1,0,0
12581,control,0,0,0
3788,control,1,1,0
7836,treatment,0,0,0
9407,control,0,0,0
6718,treatment,1,0,0
10546,control,0,0,0
6503,treatment,0,0,0
3504,control,0,0,0
7072,control,0,0,0
3793,control,0,0,0
7413,control,1,0,0
820,treatment,0,0,0
7633,control,0,0,0
6552,control,1,0,0
10795,control,0,0,0
2737,treatment,0,0,0
13010,control,0,0,0
8278,control,0,0,0
5883,treatment,0,0,0
2148,control,1,0,0
1732,treatment,0,0,0
1602,control,0,0,0
9199,treatment,1,0,0
775,control,0,0,0
11131,control,0,0,0
11322,control,1,0,0
9107,treatment,0,0,0
4653,treatment,0,0,0
352,control,0,0,0
10348,treatment,1,1,1
4612,treatment,1,1,1
1315,treatment,0,0,0
3315,treatment,1,0,0
13118,treatment,1,0,0
9113,treatment,0,0,0
4341,control,0,0,0
3588,control,0,0,0
12635,control,0,0,0
11317,treatment,0,0,0
7007,treatment,0,0,0
11857,treatment,1,0,0
12226,control,1,0,0
525,treatment,0,0,0
8124,treatment,0,0,0
11804,control,1,0,0
7578,treatment,1,0,0
8699,treatment,0,0,0
5105,control,0,0,0
1680,control,1,0,0
11356,treatment,0,0,0
4581,treatment,1,0,0
2929,treatment,1,0,0
12280,control,1,0,0
10540,control,0,0,0
1032,control,0,0,0
8660,control,0,0,0
2433,control,1,0,0
11454,treatment,0,0,0
8766,treatment,1,0,0
5041,control,0,0,0
2474,treatment,1,0,0
10490,control,0,0,0
6406,treatment,0,0,0
13560,treatment,0,0,0
9626,treatment,1,0,0
8584,control,0,0,0
3306,control,0,0,0
11484,treatment,0,0,0
10130,treatment,0,0,0
12370,treatment,1,0,0
13951,treatment,0,0,0
11394,control,0,0,0
8312,control,0,0,0
1364,treatment,0,0,0
11831,control,1,0,0
12565,treatment,0,0,0
12712,control,0,0,0
13211,treatment,1,0,0
2838,control,0,0,0
6638,control,0,0,0
3001,treatment,1,1,0
4735,treatment,1,0,0
10980,control,1,1,1
11113,control,0,0,0
10776,treatment,0,0,0
5660,treatment,1,0,0
1822,control,0,0,0
4848,treatment,1,0,0
10917,control,0,0,0
9176,control,0,0,0
