id_user,variant,new_active_listing,new_booked_listing,new_cancelled_listing,hrs_to_cohort
94392,treatment,0,0,0,14.05120544714855
52714,control,1,0,0,31.296124519291894
6114,control,1,0,0,8.946805781920883
89046,treatment,1,0,0,2.0262585174610943
62358,control,0,0,0,37.53914751333883
4936,control,0,0,0,0.000434939507057981
31863,control,0,0,0,42.44737278092542
98175,treatment,0,0,0,1.5751585038826417
69614,control,0,0,0,46.15513124079553
85414,treatment,1,0,0,8.854559539072536
79092,treatment,0,0,0,11.14381596359102
44798,treatment,0,0,0,7.272228547653924
14633,treatment,0,0,0,18.862861436106265
15691,treatment,0,0,0,5.759212598008462
47499,control,0,0,0,46.794356066248476
90448,treatment,0,0,0,25.783430593762837
19143,control,0,0,0,30.41905468982118
16491,control,1,0,0,24.670434300997577
82126,treatment,0,0,0,46.742278070917365
41485,control,1,0,0,15.557186333497087
12886,treatment,0,0,0,20.744127398661224
63091,treatment,1,0,0,19.42676890984523
36823,control,0,0,0,25.565188796990775
67218,control,1,0,0,42.100200946872576
53603,control,1,0,0,13.45427432466636
40639,treatment,0,0,0,29.462068809504636
22271,treatment,0,0,0,25.432241020477562
31228,treatment,1,0,0,45.854326726837996
38615,treatment,1,0,0,34.85530312478316
14753,treatment,0,0,0,24.8648862074436
45774,treatment,0,0,0,7.858452677969173
108866,control,0,0,0,5.500321733091896
6711,control,1,1,0,26.875626661989642
44793,treatment,1,0,0,12.274220653760207
78065,treatment,0,0,0,45.09186933155831
73378,treatment,0,0,0,38.45188041011981
12488,control,0,0,0,1.4789985544320303
95003,control,1,0,0,13.833479501497822
30940,control,0,0,0,44.41957862172617
90715,treatment,0,0,0,22.578455608343113
50020,control,1,0,0,25.826706930352458
62279,control,0,0,0,8.847582492374817
7917,control,0,0,0,4.228716520930757
60628,treatment,0,0,0,22.87895834204548
6378,control,0,0,0,0.9944340183705136
105602,control,0,0,0,41.061091632506844
108075,treatment,1,0,0,38.09437919946096
97551,treatment,0,0,0,26.240395551274876
25374,control,0,0,0,11.789382036130318
45181,treatment,0,0,0,19.311706882967826
60110,control,0,0,0,19.995013861208903
19201,treatment,0,0,0,10.856725442619291
72022,treatment,0,0,0,34.77227271247191
91432,control,0,0,0,32.40483097475399
38714,treatment,0,0,0,40.224511676098004
29896,treatment,0,0,0,36.69750693476895
31085,treatment,0,0,0,46.52281246513189
41165,treatment,1,0,0,47.08369787077805
99398,treatment,0,0,0,31.140988200924784
57129,control,1,0,0,47.675886885100915
99056,treatment,1,0,0,4.264852911636563
95492,control,0,0,0,28.75816063234832
20494,treatment,1,0,0,28.368842615768884
61122,treatment,0,0,0,19.682467247730234
80733,treatment,0,0,0,16.494463225909342
58201,control,0,0,0,37.85243110678194
1626,control,1,0,0,39.706046143683515
12586,treatment,0,0,0,13.202462427132225
16965,treatment,0,0,0,21.16527440517603
18169,control,1,1,0,3.2276271086419226
36613,treatment,0,0,0,12.944999996002112
27087,control,1,0,0,12.44107829365943
57691,treatment,1,0,0,17.949299479178087
23857,control,1,0,0,32.79092867372665
98009,treatment,1,0,0,1.5319346945825518
55325,treatment,1,0,0,14.93022354272449
43371,treatment,0,0,0,18.481152349688674
48925,treatment,0,0,0,6.434940327883907
7023,treatment,1,0,0,36.055298074450015
49532,control,1,0,0,34.118911065731126
48296,treatment,1,0,0,22.533418258886584
17932,treatment,0,0,0,16.65728268492974
3267,treatment,0,0,0,17.036625462653696
88758,control,1,0,0,18.167903328628455
19327,control,0,0,0,39.27933647922099
6721,control,0,0,0,20.24456394402684
108600,treatment,0,0,0,29.71637200966945
110983,treatment,0,0,0,10.848224650282877
5258,control,0,0,0,46.74662360756334
98768,treatment,0,0,0,25.823149955203853
74163,control,1,0,0,30.91267723891612
35210,treatment,1,0,0,46.85661416009798
85812,treatment,1,1,0,19.71305003542696
15207,control,0,0,0,5.20356977555261
12250,treatment,0,0,0,3.3636076511613107
72982,treatment,1,0,0,9.480890642654563
32656,control,0,0,0,14.525678372801863
90272,treatment,0,0,0,5.8941833918017075
3694,treatment,1,1,0,14.594882087506491
22602,control,1,0,0,28.21365238152682
49882,control,1,0,0,5.411057031495066
62441,treatment,1,0,0,18.62502046889733
22716,treatment,0,0,0,14.990858475431969
16522,treatment,1,1,0,18.86126099061025
37933,control,0,0,0,1.5527419292408169
8146,treatment,1,0,0,38.66393549464478
98232,control,1,0,0,24.554522932751293
91344,control,1,0,0,0.9775604567991439
33892,control,1,0,0,6.516379651877133
73375,control,1,0,0,34.87819218235165
78562,control,1,0,0,39.75643805323505
99800,control,0,0,0,34.05765671212679
42874,treatment,0,0,0,27.2325140862735
34411,control,0,0,0,44.10966561241647
41066,treatment,1,1,0,4.733979414697598
24086,treatment,0,0,0,1.1643380677755093
64795,treatment,0,0,0,14.84823629629692
37393,control,0,0,0,9.58621164711039
36809,control,0,0,0,10.206629034889295
96532,treatment,0,0,0,16.60269178784436
58478,treatment,0,0,0,3.0648569327280737
90044,control,1,0,0,44.99475422059571
65872,treatment,0,0,0,13.84105221691628
66145,control,1,0,0,24.27633302060645
109952,treatment,1,1,0,2.4953362232861283
46041,control,0,0,0,33.0928354447856
42560,treatment,0,0,0,23.13399851112135
102002,control,0,0,0,29.029443258747033
20249,control,1,0,0,30.03304467217022
97885,control,1,0,0,35.49429513630743
84639,treatment,1,0,0,45.381782186729744
41766,control,0,0,0,38.40033053194489
28893,control,0,0,0,42.89036769298953
53715,treatment,1,0,0,20.91564944900933
9463,treatment,0,0,0,27.593333585576076
88467,control,0,0,0,38.17132132295551
84668,control,0,0,0,34.61261024764009
6553,control,0,0,0,21.23292613714085
83631,treatment,0,0,0,42.12840772329032
103410,control,0,0,0,25.277825053722793
46493,treatment,1,0,0,32.610197804536426
100451,control,0,0,0,10.184788050889486
74882,control,0,0,0,18.515750482358325
84211,control,0,0,0,1.4859846581313596
54487,control,0,0,0,28.631348790127912
100639,control,0,0,0,8.64961876769018
97878,treatment,0,0,0,15.09732137395975
52335,control,1,0,0,4.756016095928883
7941,treatment,1,0,0,32.26171116311268
45113,control,0,0,0,29.632644157669905
63903,treatment,0,0,0,5.93762751280962
87124,treatment,0,0,0,8.846921975631606
87355,treatment,1,0,0,26.702905215327725
106720,control,1,1,0,5.3039456906785665
18317,control,0,0,0,40.64776838746753
8035,control,1,0,0,34.62738763087951
47069,treatment,1,0,0,31.39165999982334
2939,treatment,0,0,0,11.145166077455752
59606,control,0,0,0,5.043134033827706
66973,control,0,0,0,30.745095782520885
26477,treatment,0,0,0,13.819636565214363
77822,control,0,0,0,13.300995986924141
67181,treatment,1,0,0,2.1701687442714572
59226,treatment,0,0,0,23.81711028478896
2028,control,1,0,0,6.241582968081287
53007,control,0,0,0,34.44744676822974
104826,treatment,1,0,0,7.094525193823616
91688,control,1,0,0,38.89492567403787
71036,treatment,0,0,0,27.58749606299368
66310,treatment,1,0,0,9.435175062832746
42487,treatment,0,0,0,26.174540789907745
85896,treatment,0,0,0,47.59713040658154
84222,control,1,0,0,38.06936168067551
86249,treatment,0,0,0,0.3219822834414864
45491,treatment,0,0,0,33.12342579671838
52280,control,0,0,0,41.649610816659575
62623,treatment,1,0,0,4.596637738594632
106436,control,1,0,0,47.11770378885499
4219,treatment,0,0,0,25.831447679653632
22596,treatment,0,0,0,40.48434558624494
110109,treatment,0,0,0,7.900636083581341
54312,treatment,0,0,0,43.319486830040326
50666,control,1,0,0,24.93085529998811
17618,treatment,1,0,0,39.89102010960695
70390,treatment,1,0,0,8.3989612237143
92577,control,0,0,0,12.653584308511522
8672,treatment,0,0,0,22.735640678103316
6857,treatment,0,0,0,30.24416849486003
103202,control,0,0,0,17.196959185524623
54311,control,0,0,0,26.085311507962558
93745,control,1,0,0,27.980915249395302
38517,treatment,1,0,0,43.40152788903439
95355,control,0,0,0,22.60969981791592
55615,treatment,0,0,0,6.2783454434834285
101386,treatment,1,0,0,31.81216606485211
21900,treatment,1,0,0,15.143983727544368
73504,treatment,1,1,0,13.05122276252488
5975,control,1,0,0,11.09468132602622
51795,treatment,1,0,0,44.21695230415352
67711,control,1,0,0,0.8975466979668403
92141,treatment,1,0,0,7.434307113172798
27946,treatment,1,1,0,21.245415228916357
70056,control,0,0,0,29.897952479951222
87193,control,1,0,0,41.42892201839991
52174,treatment,1,0,0,9.469150152399463
70663,control,0,0,0,12.582018543387209
1912,treatment,0,0,0,41.90737026762282
8666,control,1,0,0,44.86131187330954
86466,control,0,0,0,47.45931463962654
65669,treatment,1,1,0,27.39417091548186
103857,control,0,0,0,15.007844929074016
23031,control,0,0,0,6.0545073734073185
45041,treatment,0,0,0,14.800881205273361
12044,control,1,0,0,11.851759638459104
16384,treatment,1,0,0,40.46753161271767
66690,control,0,0,0,6.517041403709826
99534,treatment,0,0,0,21.53538844955434
13331,control,1,0,0,23.708105211644124
35012,treatment,1,0,0,26.133308105772823
3009,control,1,0,0,43.455293909752584
32207,control,0,0,0,0.12777024271463758
67753,control,0,0,0,29.026056806784577
107616,treatment,0,0,0,14.286739577322939
67951,control,0,0,0,27.525502263021345
73825,treatment,0,0,0,3.7299802085388203
11033,control,1,0,0,22.67337611197759
67183,control,0,0,0,27.186119586387054
13606,control,0,0,0,36.64414242660258
104536,control,0,0,0,18.569952376940474
110246,treatment,0,0,0,35.98509184671626
107794,control,1,0,0,46.356454663291856
91062,treatment,0,0,0,28.12104109338006
91899,control,1,0,0,24.844774547604107
31648,treatment,0,0,0,12.618604767094649
61127,treatment,0,0,0,44.68215105003309
20883,control,0,0,0,42.052740737724086
79621,control,0,0,0,33.26189204606629
215,treatment,0,0,0,38.32594295452321
81776,control,0,0,0,16.92592741185345
19461,control,1,0,0,21.631846530797667
110438,control,0,0,0,4.07540173622244
31222,treatment,0,0,0,36.266617801038954
53652,treatment,0,0,0,32.27285673458447
84349,treatment,0,0,0,13.765919594661778
111249,treatment,0,0,0,1.0062953441360125
48351,treatment,1,0,0,6.485983410093906
26042,control,1,0,0,22.52070138059909
39092,control,0,0,0,22.764895703094908
100730,treatment,0,0,0,2.5653610451629523
64238,control,1,0,0,27.163156628863483
49778,treatment,0,0,0,17.54993330092843
41043,control,1,0,0,2.983989997707703
37441,control,0,0,0,11.813085476094109
9442,treatment,1,0,0,32.45946954779735
12224,control,1,0,0,7.889618208476658
105240,treatment,1,0,0,5.264176911199572
40834,treatment,1,0,0,6.766659958903991
91584,control,0,0,0,27.31954681440241
24445,control,0,0,0,21.966801382659234
53796,treatment,0,0,0,20.590308377186393
52364,control,0,0,0,24.373121873758766
760,treatment,0,0,0,3.9218410029927844
44553,treatment,0,0,0,10.03354441028458
69416,control,1,0,0,24.468765598346053
104068,treatment,0,0,0,34.55176473141311
108218,treatment,0,0,0,13.48355504100977
88750,treatment,0,0,0,9.3625029065982
28402,treatment,1,0,0,8.70897013923293
67261,treatment,1,0,0,4.543104600675613
37507,control,0,0,0,10.448903893259905
104980,control,0,0,0,24.257914881406563
27790,control,0,0,0,21.16330943222242
105635,control,0,0,0,43.59352086745212
110899,treatment,1,0,0,14.952817072935451
95453,control,0,0,0,29.968965826314083
94196,control,1,0,0,35.285870670782664
55107,control,0,0,0,22.598783271548875
68932,control,0,0,0,29.43441686075876
8650,control,0,0,0,39.02559094877841
93460,control,1,0,0,34.287329304803265
68862,control,0,0,0,6.045027509454807
39805,treatment,1,0,0,8.681537210174367
57642,treatment,0,0,0,26.363802829538287
82587,treatment,1,1,0,3.663089552596759
35780,treatment,0,0,0,1.6362822771382122
108176,control,0,0,0,13.737272423250493
70372,treatment,1,0,0,47.865569709493236
29481,control,0,0,0,45.787572231787536
12775,treatment,1,0,0,32.284600124443855
65556,control,0,0,0,5.107754608530459
8847,treatment,0,0,0,45.952179629377724
98354,treatment,0,0,0,33.65524931117382
103318,control,0,0,0,19.357649431534558
8410,treatment,1,1,0,31.465233016551387
52005,treatment,0,0,0,19.969846132312405
3072,control,0,0,0,38.09449391311287
111258,treatment,0,0,0,35.296384703581566
61715,control,1,1,0,33.27839497917653
92906,control,1,0,0,34.91979154169187
23337,control,0,0,0,39.22763448123767
13820,control,1,0,0,41.6022391863249
8754,control,0,0,0,20.661035186053745
33677,control,0,0,0,12.664014475140519
101118,control,0,0,0,19.38599447260297
26952,treatment,1,0,0,8.44919941703964
32733,treatment,0,0,0,9.981024213141577
72222,control,1,0,0,45.213052011598606
38753,control,0,0,0,34.06352301159032
88174,control,0,0,0,25.113896526360506
39178,treatment,0,0,0,7.5663685144674595
20652,treatment,0,0,0,45.0797516146076
73050,treatment,0,0,0,7.252258420203573
41354,control,0,0,0,5.822084702122012
60342,control,0,0,0,43.25257426345002
63352,control,1,0,0,46.74535028396131
4415,treatment,0,0,0,9.795056621166566
13917,control,1,0,0,21.321991282367478
58761,treatment,0,0,0,23.644018664871584
97889,treatment,0,0,0,14.825296478503427
46688,treatment,1,0,0,14.454515732834905
15000,treatment,1,0,0,7.252582411527539
46645,control,0,0,0,20.253398102006887
94581,treatment,1,0,0,39.12899240766724
50587,control,0,0,0,1.5769827483275742
55297,control,0,0,0,0.2968439581036502
27070,control,0,0,0,3.064030769839617
43076,treatment,1,0,0,27.090203487482217
67944,control,0,0,0,3.212978350555309
15005,control,1,0,0,37.38563799575327
26148,control,1,0,0,45.8772505710574
19080,treatment,1,0,0,31.860918675833894
78672,control,1,1,0,8.484083712335744
6441,treatment,0,0,0,35.00971868790542
36954,control,0,0,0,46.536025648656455
12377,treatment,0,0,0,8.828546393890077
75794,treatment,0,0,0,27.136746142742304
74911,treatment,0,0,0,21.710706912699983
78411,control,1,0,0,45.10913886603031
26290,treatment,1,0,0,16.130560350544325
57600,treatment,0,0,0,29.278752444090998
70602,treatment,0,0,0,5.878347600631447
91844,treatment,0,0,0,0.25828898305780773
56565,treatment,0,0,0,31.427158710016545
73914,control,0,0,0,43.622950209858345
62902,treatment,1,0,0,0.48638309933669427
63473,control,0,0,0,11.22110070465604
11869,control,0,0,0,42.930142494900025
40978,control,1,0,0,15.74623208014273
48508,treatment,0,0,0,45.88021401015337
77541,treatment,0,0,0,21.777996227876805
63961,control,0,0,0,1.4822358909920188
11862,treatment,0,0,0,45.56353253030177
36114,control,1,0,0,16.30806603271583
98642,control,0,0,0,19.781636032935587
9444,treatment,1,0,0,17.755020188313395
36622,treatment,0,0,0,27.369411670485412
10751,control,0,0,0,44.882609176681115
61187,treatment,0,0,0,28.57159250523601
74942,treatment,1,0,0,42.48504538284275
79406,control,1,0,0,0.6732987391107215
73297,control,1,0,0,4.3298942764625785
78687,control,1,0,0,19.41664809615698
39705,treatment,0,0,0,46.50777449764117
22107,control,0,0,0,26.067435359628195
798,control,1,0,0,13.091059252321436
90856,treatment,1,0,0,41.91915110848097
59345,treatment,1,0,0,37.07075144156748
75254,treatment,1,0,0,31.953415426468982
100734,treatment,0,0,0,20.200325105416802
69736,control,0,0,0,6.783143431656803
107234,treatment,1,0,0,37.9437109988955
81969,control,1,0,0,7.156350703889604
109940,control,1,0,0,25.79925141667257
33682,treatment,1,0,0,22.381012613908855
44380,control,1,0,0,3.059327914183738
71478,treatment,1,0,0,41.41095773798877
57845,treatment,0,0,0,37.10207747213889
77442,control,1,0,0,2.5429407743767767
107637,control,0,0,0,23.744699432774777
29009,control,0,0,0,14.321554564285154
5439,treatment,0,0,0,47.466327713942775
36397,control,0,0,0,44.537553025764176
14730,control,0,0,0,26.115410532617425
69069,control,0,0,0,11.856629929016213
19145,control,1,0,0,32.5793386352494
68632,treatment,0,0,0,12.292207817392148
51773,treatment,0,0,0,36.03748568682485
86960,control,1,0,0,29.795451740022163
80306,treatment,1,0,0,24.744768886065206
92522,control,0,0,0,0.8769947204109295
99755,treatment,0,0,0,34.777089190516215
94994,control,1,0,0,22.30675885485068
2987,control,0,0,0,12.774196596934868
68691,treatment,0,0,0,1.8308730531118869
103965,treatment,1,0,0,41.592444996275454
37171,treatment,1,0,0,31.88239494107979
103569,control,0,0,0,9.234656168138564
104189,control,1,1,0,22.03934188011043
31298,treatment,1,0,0,12.19617569973002
23664,treatment,1,0,0,6.218824883293497
26328,control,0,0,0,10.264290498934107
32266,treatment,1,1,0,2.1728050022738703
65643,control,1,0,0,38.93571980216073
57205,treatment,1,0,0,7.848761164330163
14225,treatment,1,0,0,5.034787313510474
53222,control,0,0,0,1.2576148449791344
34834,treatment,0,0,0,36.58249496927445
109396,treatment,0,0,0,43.107479735409136
93695,treatment,0,0,0,3.891777228194079
5625,treatment,1,0,0,20.91862139016189
3306,control,0,0,0,1.0367533213490057
107284,control,1,0,0,25.958671135618175
19496,control,0,0,0,38.91452061793602
22711,treatment,0,0,0,26.654249766286384
270,treatment,0,0,0,43.91976226966121
86843,treatment,0,0,0,46.72650247460397
88430,treatment,0,0,0,15.624882083585648
52195,control,1,0,0,7.590352335854519
1791,treatment,1,0,0,0.4903871127927129
500,treatment,0,0,0,23.73509252999645
52807,control,0,0,0,30.518956759899122
92813,treatment,1,0,0,3.2203254396495877
110460,control,0,0,0,40.2519823025545
95801,treatment,1,0,0,19.75906585635027
47116,control,1,0,0,35.44570062048668
3137,control,0,0,0,33.29411720204282
20761,control,0,0,0,10.768525384691097
11434,treatment,1,0,0,26.64737225202106
101949,treatment,1,0,0,47.46264451299111
52673,treatment,0,0,0,30.173313999621186
100930,control,0,0,0,29.680594694848246
12638,control,0,0,0,43.2332473333066
43185,treatment,1,1,1,7.074051574926859
58520,treatment,0,0,0,20.842171137904483
95153,control,1,0,0,19.2084131672649
79339,control,1,0,0,7.9204166328900545
14512,control,0,0,0,16.912521663100048
594,control,1,0,0,23.99284860023605
32026,treatment,1,0,0,30.463020514638078
59743,treatment,0,0,0,17.44648972660863
80773,control,1,0,0,20.112141580111153
100069,treatment,0,0,0,20.799665103261603
68103,treatment,0,0,0,17.43115218863809
35588,control,0,0,0,36.784931406255836
100156,treatment,0,0,0,22.474178574444338
80660,control,0,0,0,15.543376130896442
10939,control,0,0,0,8.688137842948361
78022,treatment,1,1,0,15.854554536493957
69505,control,0,0,0,42.49118644980503
110004,treatment,0,0,0,13.813711329178478
50868,treatment,1,0,0,35.08571536817036
17739,control,0,0,0,23.459768240077146
75001,treatment,0,0,0,18.04136645115025
47616,control,0,0,0,1.1751918590683639
55535,treatment,0,0,0,23.16779243413565
73446,control,0,0,0,13.801637407636592
111081,treatment,0,0,0,4.423663792998645
2668,control,1,0,0,27.678099813929226
20402,control,1,0,0,18.30436969205629
103996,control,0,0,0,44.3005735476616
34005,control,1,0,0,20.223256395291102
33347,treatment,0,0,0,23.682223916197948
2031,treatment,0,0,0,30.94331112578294
19973,treatment,0,0,0,1.4069904240371116
59674,treatment,1,0,0,3.8018836326250858
46018,treatment,0,0,0,32.15538474812722
6632,control,1,0,0,5.578295867696367
79239,treatment,0,0,0,46.97058833177813
24363,control,1,1,0,10.016255524236227
62125,control,1,0,0,43.03422106623469
40431,control,0,0,0,26.69817688326415
51327,treatment,0,0,0,32.583430840658885
69774,control,0,0,0,23.219158276924063
77368,treatment,0,0,0,0.1959732217237538
96956,control,0,0,0,37.55513812752357
15751,control,0,0,0,46.04972091873434
75649,control,1,0,0,2.0704447432476063
39734,control,0,0,0,10.327232690276592
46367,treatment,0,0,0,37.63290289793346
105868,treatment,1,0,0,35.83419361365622
5507,treatment,0,0,0,27.577120755206423
31284,treatment,0,0,0,13.01145706890642
83992,control,0,0,0,25.77998375035109
108862,control,0,0,0,34.90829333225887
106571,treatment,1,1,0,1.7501633492167694
24453,treatment,0,0,0,32.74645043082719
81866,control,0,0,0,27.946776233440442
33854,treatment,1,0,0,4.041694028909419
39294,treatment,0,0,0,37.862615962523336
59652,control,0,0,0,4.828941030020967
36650,treatment,1,1,0,20.098708542230625
9684,treatment,0,0,0,37.70125416073415
69639,treatment,0,0,0,27.378326646250436
44401,control,1,0,0,9.416800668599487
76473,control,0,0,0,28.557669609025687
52949,control,1,0,0,34.721737801865274
76322,control,0,0,0,20.267025867247657
100114,treatment,0,0,0,38.421299746653695
51133,treatment,0,0,0,9.219682670605183
75171,control,0,0,0,47.34050046252838
103737,control,1,0,0,11.058960462018081
38144,control,0,0,0,15.24564409957664
45356,treatment,0,0,0,44.24603808894936
108123,treatment,0,0,0,47.98089732262092
61276,treatment,1,0,0,7.966492841245991
41851,treatment,0,0,0,16.6106264532891
81376,treatment,0,0,0,18.966745817476685
58652,control,0,0,0,35.463627985734625
14847,control,1,1,0,6.759137826226366
4961,control,1,1,0,23.88315144583614
38828,control,1,0,0,29.934500561979778
7734,treatment,1,0,0,37.1003707113389
67997,treatment,1,0,0,16.59798488768675
92916,treatment,0,0,0,33.98378020955685
7120,control,0,0,0,19.63762112803966
52796,treatment,1,1,0,3.887573892292571
76304,control,1,0,0,38.683401998462635
92239,control,1,0,0,1.5028534309250423
109955,control,1,0,0,35.0480033338119
83064,control,1,0,0,43.79011233728419
109451,treatment,0,0,0,45.46259102559161
14290,treatment,1,0,0,27.580286168428167
39715,treatment,1,0,0,14.374171607235025
53726,treatment,0,0,0,22.000791927897495
40241,treatment,0,0,0,3.379754221261649
20121,control,1,0,0,39.87341325428966
74669,control,1,1,0,35.427726643087034
7569,control,1,0,0,40.81641395805321
82590,control,1,0,0,1.933800593311682
38041,treatment,0,0,0,20.540802011519304
3092,treatment,1,0,0,11.702524297252001
64133,treatment,0,0,0,7.917226727836714
10883,control,0,0,0,30.27228355789205
51617,treatment,1,0,0,34.32219721167136
19906,treatment,0,0,0,33.36114956699359
13891,control,0,0,0,20.24854050007543
54627,control,0,0,0,35.64557002868865
110816,treatment,0,0,0,17.626034285186194
16476,treatment,0,0,0,1.4445654903415992
28285,control,0,0,0,47.142488719361985
89968,treatment,0,0,0,46.06351012456891
57906,control,1,0,0,36.65279644041568
52969,control,0,0,0,33.12518025376787
48678,control,1,0,0,7.263105053438053
18802,control,0,0,0,21.90730596285991
47696,treatment,0,0,0,14.559134082541473
103002,control,1,0,0,2.9989170513561545
91354,control,1,0,0,7.414598158565355
49336,control,1,0,0,27.990438916326557
64278,treatment,1,0,0,3.988037734659016
67022,treatment,1,0,0,45.08826268337897
204,control,0,0,0,23.958335997754034
100710,treatment,0,0,0,45.28592955366389
66338,control,0,0,0,34.69859825111391
2591,treatment,0,0,0,3.7854326958257625
64872,control,1,0,0,43.66355296310742
18577,control,0,0,0,1.0966872139790311
43437,treatment,0,0,0,33.21402025281131
33143,control,1,0,0,41.05449293000378
4836,treatment,1,0,0,23.150835779923327
24449,treatment,1,0,0,3.467446108822694
22121,control,0,0,0,17.147646682141243
102431,treatment,0,0,0,18.186702620885
2175,control,1,0,0,42.26401820982442
31992,control,0,0,0,16.13063264222877
66006,control,1,0,0,5.78218439502205
49264,treatment,1,1,0,3.4758841478284346
105495,control,0,0,0,9.337646227347134
13033,control,0,0,0,5.239380560188749
84064,treatment,0,0,0,23.510096279329595
7567,control,1,0,0,39.45652369085159
71027,control,0,0,0,17.11587797163454
